Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-09 00:00:00+09:00,1181.0,1181.0,1138.0,1140.0,12100,0.0,0.0
2025-04-10 00:00:00+09:00,1285.0,1285.0,1200.0,1272.0,14500,0.0,0.0
2025-04-11 00:00:00+09:00,1262.0,1303.0,1216.0,1267.0,23400,0.0,0.0
2025-04-14 00:00:00+09:00,1271.0,1316.0,1271.0,1287.0,10200,0.0,0.0
2025-04-15 00:00:00+09:00,1276.0,1286.0,1264.0,1283.0,7000,0.0,0.0
2025-04-16 00:00:00+09:00,1283.0,1285.0,1222.0,1253.0,5600,0.0,0.0
2025-04-17 00:00:00+09:00,1259.0,1304.0,1250.0,1286.0,16300,0.0,0.0
2025-04-18 00:00:00+09:00,1284.0,1328.0,1270.0,1325.0,15400,0.0,0.0
2025-04-21 00:00:00+09:00,1337.0,1360.0,1309.0,1354.0,14300,0.0,0.0
2025-04-22 00:00:00+09:00,1350.0,1428.0,1331.0,1419.0,12400,0.0,0.0
2025-04-23 00:00:00+09:00,1443.0,1455.0,1392.0,1412.0,17600,0.0,0.0
2025-04-24 00:00:00+09:00,1412.0,1412.0,1360.0,1360.0,7300,0.0,0.0
2025-04-25 00:00:00+09:00,1390.0,1392.0,1356.0,1388.0,9100,0.0,0.0
2025-04-28 00:00:00+09:00,1402.0,1424.0,1372.0,1380.0,8800,0.0,0.0
2025-04-30 00:00:00+09:00,1378.0,1393.0,1368.0,1376.0,3800,0.0,0.0
2025-05-01 00:00:00+09:00,1375.0,1394.0,1371.0,1373.0,6200,0.0,0.0
2025-05-02 00:00:00+09:00,1390.0,1418.0,1368.0,1391.0,12600,0.0,0.0
2025-05-07 00:00:00+09:00,1390.0,1390.0,1360.0,1360.0,4800,0.0,0.0
2025-05-08 00:00:00+09:00,1357.0,1359.0,1323.0,1336.0,3700,0.0,0.0
2025-05-09 00:00:00+09:00,1336.0,1345.0,1331.0,1339.0,2600,0.0,0.0
